"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"collective-action-imitation.nlogo"
"General Analysis CA Baseline"
"07/17/2025 13:59:54:765 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","initial-resisted","corruption?","coercion-level","initial-enrolled","corruption-penalty","media-shock-freq","trust-erosion","force-enrollment?","appeals-process?","media-shock?","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy"
"3","100","true","0","300","1","91","51","true","true","true","0","300","100","600","161","139","51","49","0.5299259510171974","0.3156862745098039","0.10759493670886076"
"5","100","true","0","300","1","91","51","true","true","true","0","300","100","600","156","144","55","45","0.5247739175534013","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","0","300","100","600","168","132","45","55","0.5053978219183809","0.31176470588235294","0.11242603550295859"
"2","100","true","0","300","1","91","51","true","true","true","0","300","100","600","150","150","49","51","0.4949189930700675","0.2950980392156863","0.09514563106796116"
"3","100","true","0","300","1","91","51","true","true","true","1","300","338","362","161","139","71","267","0.4677004608211187","0.3156862745098039","0.10759493670886076"
"5","100","true","0","300","1","91","51","true","true","true","1","300","336","364","156","144","72","264","0.4629797999063424","0.3215686274509804","0.11041666666666666"
"3","100","true","0","300","1","91","51","true","true","true","2","300","338","362","161","139","71","267","0.4677004608211187","0.3156862745098039","0.10759493670886076"
"4","100","true","0","300","1","91","51","true","true","true","1","300","366","334","168","132","63","303","0.446084096428185","0.31176470588235294","0.11242603550295859"
"2","100","true","0","300","1","91","51","true","true","true","1","300","347","353","150","150","60","287","0.4373307577759504","0.2950980392156863","0.09514563106796116"
"5","100","true","0","300","1","91","51","true","true","true","2","300","336","364","156","144","72","264","0.4629797999063424","0.3215686274509804","0.11041666666666666"
"3","100","true","0","300","1","91","51","true","true","true","3","300","338","362","161","139","71","267","0.46770046082111866","0.3156862745098039","0.10759493670886076"
"4","100","true","0","300","1","91","51","true","true","true","2","300","366","334","168","132","63","303","0.4460840964281846","0.31176470588235294","0.11242603550295859"
"4","100","true","0","300","1","91","51","true","true","true","3","300","366","334","168","132","63","303","0.4460840964281849","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","3","300","336","364","156","144","72","264","0.4629797999063423","0.3215686274509804","0.11041666666666666"
"3","100","true","0","300","1","91","51","true","true","true","4","300","338","362","161","139","71","267","0.4677004608211185","0.3156862745098039","0.10759493670886076"
"5","100","true","0","300","1","91","51","true","true","true","4","300","336","364","156","144","72","264","0.4629797999063419","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","4","300","366","334","168","132","63","303","0.4460840964281849","0.31176470588235294","0.11242603550295859"
"3","100","true","0","300","1","91","51","true","true","true","5","300","338","362","161","139","71","267","0.46770046082111855","0.3156862745098039","0.10759493670886076"
"5","100","true","0","300","1","91","51","true","true","true","5","300","336","364","156","144","72","264","0.4629797999063428","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","5","300","366","334","168","132","63","303","0.4460840964281852","0.31176470588235294","0.11242603550295859"
"3","100","true","0","300","1","91","51","true","true","true","6","300","338","362","161","139","71","267","0.4677004608211185","0.3156862745098039","0.10759493670886076"
"5","100","true","0","300","1","91","51","true","true","true","6","300","336","364","156","144","72","264","0.4629797999063424","0.3215686274509804","0.11041666666666666"
"3","100","true","0","300","1","91","51","true","true","true","7","300","338","362","161","139","71","267","0.46770046082111877","0.3156862745098039","0.10759493670886076"
"4","100","true","0","300","1","91","51","true","true","true","6","300","366","334","168","132","63","303","0.4460840964281846","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","7","300","336","364","156","144","72","264","0.46297979990634236","0.3215686274509804","0.11041666666666666"
"3","100","true","0","300","1","91","51","true","true","true","8","300","338","362","161","139","71","267","0.46770046082111855","0.3156862745098039","0.10759493670886076"
"2","100","true","0","300","1","91","51","true","true","true","2","300","347","353","150","150","60","287","0.43733075777595026","0.2950980392156863","0.09514563106796116"
"4","100","true","0","300","1","91","51","true","true","true","7","300","366","334","168","132","63","303","0.44608409642818486","0.31176470588235294","0.11242603550295859"
"3","100","true","0","300","1","91","51","true","true","true","9","300","338","362","161","139","71","267","0.46770046082111855","0.3156862745098039","0.10759493670886076"
"4","100","true","0","300","1","91","51","true","true","true","8","300","366","334","168","132","63","303","0.44608409642818464","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","8","300","336","364","156","144","72","264","0.4629797999063424","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","9","300","366","334","168","132","63","303","0.44608409642818464","0.31176470588235294","0.11242603550295859"
"3","100","true","0","300","1","91","51","true","true","true","10","300","338","362","161","139","71","267","0.4677004608211183","0.3156862745098039","0.10759493670886076"
"5","100","true","0","300","1","91","51","true","true","true","9","300","336","364","156","144","72","264","0.46297979990634264","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","10","300","366","334","168","132","63","303","0.446084096428185","0.31176470588235294","0.11242603550295859"
"3","100","true","0","300","1","91","51","true","true","true","11","300","338","362","161","139","71","267","0.4677004608211185","0.3156862745098039","0.10759493670886076"
"5","100","true","0","300","1","91","51","true","true","true","10","300","336","364","156","144","72","264","0.46297979990634236","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","11","300","366","334","168","132","63","303","0.446084096428185","0.31176470588235294","0.11242603550295859"
"3","100","true","0","300","1","91","51","true","true","true","12","300","338","362","161","139","71","267","0.46770046082111855","0.3156862745098039","0.10759493670886076"
"4","100","true","0","300","1","91","51","true","true","true","12","300","366","334","168","132","63","303","0.44608409642818453","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","11","300","336","364","156","144","72","264","0.46297979990634297","0.3215686274509804","0.11041666666666666"
"3","100","true","0","300","1","91","51","true","true","true","13","300","338","362","161","139","71","267","0.46770046082111844","0.3156862745098039","0.10759493670886076"
"4","100","true","0","300","1","91","51","true","true","true","13","300","366","334","168","132","63","303","0.44608409642818453","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","12","300","336","364","156","144","72","264","0.4629797999063424","0.3215686274509804","0.11041666666666666"
"3","100","true","0","300","1","91","51","true","true","true","14","300","338","362","161","139","71","267","0.46770046082111866","0.3156862745098039","0.10759493670886076"
"4","100","true","0","300","1","91","51","true","true","true","14","300","366","334","168","132","63","303","0.4460840964281848","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","13","300","336","364","156","144","72","264","0.4629797999063426","0.3215686274509804","0.11041666666666666"
"3","100","true","0","300","1","91","51","true","true","true","15","300","338","362","161","139","71","267","0.46770046082111877","0.3156862745098039","0.10759493670886076"
"4","100","true","0","300","1","91","51","true","true","true","15","300","366","334","168","132","63","303","0.4460840964281846","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","14","300","336","364","156","144","72","264","0.46297979990634236","0.3215686274509804","0.11041666666666666"
"3","100","true","0","300","1","91","51","true","true","true","16","300","338","362","161","139","71","267","0.4677004608211184","0.3156862745098039","0.10759493670886076"
"2","100","true","0","300","1","91","51","true","true","true","3","300","347","353","150","150","60","287","0.4373307577759505","0.2950980392156863","0.09514563106796116"
"4","100","true","0","300","1","91","51","true","true","true","16","300","366","334","168","132","63","303","0.4460840964281844","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","15","300","336","364","156","144","72","264","0.46297979990634264","0.3215686274509804","0.11041666666666666"
"3","100","true","0","300","1","91","51","true","true","true","17","300","338","362","161","139","71","267","0.4677004608211184","0.3156862745098039","0.10759493670886076"
"4","100","true","0","300","1","91","51","true","true","true","17","300","366","334","168","132","63","303","0.4460840964281846","0.31176470588235294","0.11242603550295859"
"2","100","true","0","300","1","91","51","true","true","true","4","300","347","353","150","150","60","287","0.43733075777595026","0.2950980392156863","0.09514563106796116"
"3","100","true","0","300","1","91","51","true","true","true","18","300","338","362","161","139","71","267","0.4677004608211188","0.3156862745098039","0.10759493670886076"
"4","100","true","0","300","1","91","51","true","true","true","18","300","366","334","168","132","63","303","0.4460840964281845","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","16","300","336","364","156","144","72","264","0.4629797999063417","0.3215686274509804","0.11041666666666666"
"2","100","true","0","300","1","91","51","true","true","true","5","300","347","353","150","150","60","287","0.4373307577759505","0.2950980392156863","0.09514563106796116"
"4","100","true","0","300","1","91","51","true","true","true","19","300","366","334","168","132","63","303","0.44608409642818464","0.31176470588235294","0.11242603550295859"
"4","100","true","0","300","1","91","51","true","true","true","20","300","366","334","168","132","63","303","0.4460840964281849","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","17","300","336","364","156","144","72","264","0.4629797999063423","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","21","300","366","334","168","132","63","303","0.4460840964281845","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","18","300","336","364","156","144","72","264","0.46297979990634264","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","22","300","366","334","168","132","63","303","0.44608409642818414","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","19","300","336","364","156","144","72","264","0.4629797999063427","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","23","300","366","334","168","132","63","303","0.4460840964281846","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","20","300","336","364","156","144","72","264","0.4629797999063421","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","24","300","366","334","168","132","63","303","0.44608409642818486","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","21","300","336","364","156","144","72","264","0.4629797999063425","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","25","300","366","334","168","132","63","303","0.44608409642818464","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","22","300","336","364","156","144","72","264","0.4629797999063422","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","26","300","366","334","168","132","63","303","0.44608409642818486","0.31176470588235294","0.11242603550295859"
"3","100","true","0","300","1","91","51","true","true","true","19","300","338","362","161","139","71","267","0.46770046082111877","0.3156862745098039","0.10759493670886076"
"2","100","true","0","300","1","91","51","true","true","true","6","300","347","353","150","150","60","287","0.4373307577759503","0.2950980392156863","0.09514563106796116"
"5","100","true","0","300","1","91","51","true","true","true","23","300","336","364","156","144","72","264","0.4629797999063424","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","27","300","366","334","168","132","63","303","0.4460840964281847","0.31176470588235294","0.11242603550295859"
"3","100","true","0","300","1","91","51","true","true","true","20","300","338","362","161","139","71","267","0.46770046082111855","0.3156862745098039","0.10759493670886076"
"2","100","true","0","300","1","91","51","true","true","true","7","300","347","353","150","150","60","287","0.4373307577759505","0.2950980392156863","0.09514563106796116"
"5","100","true","0","300","1","91","51","true","true","true","24","300","336","364","156","144","72","264","0.46297979990634247","0.3215686274509804","0.11041666666666666"
"3","100","true","0","300","1","91","51","true","true","true","21","300","338","362","161","139","71","267","0.46770046082111877","0.3156862745098039","0.10759493670886076"
"2","100","true","0","300","1","91","51","true","true","true","8","300","347","353","150","150","60","287","0.43733075777595054","0.2950980392156863","0.09514563106796116"
"4","100","true","0","300","1","91","51","true","true","true","28","300","366","334","168","132","63","303","0.4460840964281849","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","25","300","336","364","156","144","72","264","0.4629797999063429","0.3215686274509804","0.11041666666666666"
"3","100","true","0","300","1","91","51","true","true","true","22","300","338","362","161","139","71","267","0.46770046082111855","0.3156862745098039","0.10759493670886076"
"5","100","true","0","300","1","91","51","true","true","true","26","300","336","364","156","144","72","264","0.4629797999063427","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","29","300","366","334","168","132","63","303","0.4460840964281846","0.31176470588235294","0.11242603550295859"
"2","100","true","0","300","1","91","51","true","true","true","9","300","347","353","150","150","60","287","0.4373307577759505","0.2950980392156863","0.09514563106796116"
"3","100","true","0","300","1","91","51","true","true","true","23","300","338","362","161","139","71","267","0.4677004608211185","0.3156862745098039","0.10759493670886076"
"5","100","true","0","300","1","91","51","true","true","true","27","300","336","364","156","144","72","264","0.46297979990634236","0.3215686274509804","0.11041666666666666"
"3","100","true","0","300","1","91","51","true","true","true","24","300","338","362","161","139","71","267","0.4677004608211183","0.3156862745098039","0.10759493670886076"
"2","100","true","0","300","1","91","51","true","true","true","10","300","347","353","150","150","60","287","0.4373307577759502","0.2950980392156863","0.09514563106796116"
"4","100","true","0","300","1","91","51","true","true","true","30","300","366","334","168","132","63","303","0.44608409642818486","0.31176470588235294","0.11242603550295859"
"2","100","true","0","300","1","91","51","true","true","true","11","300","347","353","150","150","60","287","0.43733075777595004","0.2950980392156863","0.09514563106796116"
"3","100","true","0","300","1","91","51","true","true","true","25","300","338","362","161","139","71","267","0.46770046082111866","0.3156862745098039","0.10759493670886076"
