"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"collective-action-imitation.nlogo"
"General Analysis CA DigitalDivide"
"07/17/2025 14:04:52:665 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","8","8","8","9","9","9","9","9","9","9","9","9","9","9","10","10","10","10","10","10","10","10","10","10","10","11","11","11","11","11","11","11","11","11","11","11","12","12","12","12","12","12","12","12","12","12","12","13","13","13","13","13","13","13","13","13","13","13","14","14","14","14","14","14","14","14","14","14","14","15","15","15","15","15","15","15","15","15","15","15","16","16","16","16","16","16","16","16","16","16","16","17","17","17","17","17","17","17","17","17","17","17","18","18","18","18","18","18","18","18","18","18","18","19","19","19","19","19","19","19","19","19","19","19","20","20","20","20","20","20","20","20","20","20","20","21","21","21","21","21","21","21","21","21","21","21","22","22","22","22","22","22","22","22","22","22","22","23","23","23","23","23","23","23","23","23","23","23","24","24","24","24","24","24","24","24","24","24","24","25","25","25","25","25","25","25","25","25","25","25"
"rural-literacy-rate","0",,,,,,,,,,,"0",,,,,,,,,,,"0",,,,,,,,,,,"0",,,,,,,,,,,"0",,,,,,,,,,,"0.3",,,,,,,,,,,"0.3",,,,,,,,,,,"0.3",,,,,,,,,,,"0.3",,,,,,,,,,,"0.3",,,,,,,,,,,"0.6",,,,,,,,,,,"0.6",,,,,,,,,,,"0.6",,,,,,,,,,,"0.6",,,,,,,,,,,"0.6",,,,,,,,,,,"0.9",,,,,,,,,,,"0.9",,,,,,,,,,,"0.9",,,,,,,,,,,"0.9",,,,,,,,,,,"0.9",,,,,,,,,,,"1",,,,,,,,,,,"1",,,,,,,,,,,"1",,,,,,,,,,,"1",,,,,,,,,,,"1",,,,,,,,,,
"[reporter]","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy"
"[final]","300","300","350","350","147","153","73","277","0.24456315429721615","0.2656862745098039","0","300","300","391","309","158","142","61","330","0.22987345846135976","0.24803921568627452","0","300","300","378","322","151","149","77","301","0.2459885515294119","0.257843137254902","0","300","300","372","328","160","140","75","297","0.24338639249739397","0.2627450980392157","0","300","300","377","323","149","151","89","288","0.24910611428007332","0.26666666666666666","0","300","300","316","384","162","138","61","255","0.2781516787176115","0.3813725490196078","0.27070707070707073","300","300","302","398","155","145","78","224","0.2955476794587201","0.39705882352941174","0.3104166666666667","300","300","318","382","149","151","77","241","0.2893161655217221","0.37058823529411766","0.28","300","300","318","382","145","155","61","257","0.28329616600244456","0.3872549019607843","0.3007662835249042","300","300","314","386","161","139","55","259","0.28893181628560904","0.39019607843137255","0.29133858267716534","300","300","241","459","140","160","58","183","0.33445429617562483","0.5333333333333333","0.6019047619047619","300","300","249","451","146","154","78","171","0.3356033461785299","0.5343137254901961","0.596078431372549","300","300","256","444","156","144","65","191","0.33548408670619356","0.5029411764705882","0.5575757575757576","300","300","255","445","148","152","70","185","0.33849513780208873","0.5431372549019607","0.6149425287356322","300","300","246","454","139","161","68","178","0.33109301497104804","0.538235294117647","0.5930902111324377","300","300","184","516","160","140","69","115","0.39363450001161165","0.6686274509803921","0.9063136456211812","300","300","168","532","138","162","60","108","0.39298236011991083","0.6882352941176471","0.9096267190569745","300","300","183","517","155","145","82","101","0.39012423819976233","0.6833333333333333","0.9015748031496063","300","300","190","510","143","157","65","125","0.38768411921296636","0.6941176470588235","0.9024856596558317","300","300","175","525","138","162","64","111","0.38334409861027746","0.6764705882352942","0.888671875","300","300","166","534","162","138","77","89","0.408302146366655","0.7274509803921568","1","300","300","158","542","154","146","76","82","0.4138114013345274","0.7450980392156863","1","300","300","176","524","151","149","75","101","0.39879489267624796","0.7392156862745098","1","300","300","158","542","153","147","64","94","0.39803860084954984","0.7303921568627451","1","300","300","154","546","133","167","78","76","0.408197616718416","0.7519607843137255","1"
"[min]","0","300","100","350","147","153","50","50","0.2445631542972159","0.2656862745098039","0","0","300","100","309","158","142","41","59","0.2298734584613594","0.24803921568627452","0","0","300","100","322","151","149","52","48","0.2459885515294118","0.257843137254902","0","0","300","100","328","160","140","51","49","0.24338639249739363","0.2627450980392157","0","0","300","100","323","149","151","61","39","0.24910611428007295","0.26666666666666666","0","0","300","100","384","162","138","49","51","0.27815167871761115","0.3813725490196078","0.27070707070707073","0","300","100","398","155","145","59","41","0.29554767945872007","0.39705882352941174","0.3104166666666667","0","300","100","382","149","151","54","46","0.2893161655217216","0.37058823529411766","0.28","0","300","100","382","145","155","43","57","0.28329616600244373","0.3872549019607843","0.3007662835249042","0","300","100","386","161","139","39","61","0.28893181628560904","0.39019607843137255","0.29133858267716534","0","300","100","459","140","160","47","53","0.3344542961756243","0.5333333333333333","0.6019047619047619","0","300","100","451","146","154","51","49","0.3356033461785298","0.5343137254901961","0.596078431372549","0","300","100","444","156","144","48","52","0.33548408670619306","0.5029411764705882","0.5575757575757576","0","300","100","445","148","152","49","51","0.33849513780208806","0.5431372549019607","0.6149425287356322","0","300","100","454","139","161","51","49","0.33109301497104754","0.538235294117647","0.5930902111324377","0","300","100","516","160","140","53","47","0.3936345000116114","0.6686274509803921","0.9063136456211812","0","300","100","532","138","162","40","60","0.3929823601199106","0.6882352941176471","0.9096267190569745","0","300","100","517","155","145","47","53","0.39012423819976144","0.6833333333333333","0.9015748031496063","0","300","100","510","143","157","44","56","0.3876841192129659","0.6941176470588235","0.9024856596558317","0","300","100","525","138","162","44","56","0.38334409861027746","0.6764705882352942","0.888671875","0","300","100","534","162","138","48","52","0.4083021463666542","0.7274509803921568","1","0","300","100","542","154","146","48","52","0.41381140133452693","0.7450980392156863","1","0","300","100","524","151","149","44","56","0.39879489267624724","0.7392156862745098","1","0","300","100","542","153","147","42","58","0.3980386008495493","0.7303921568627451","1","0","300","100","546","133","167","52","48","0.4081976167184152","0.7519607843137255","1"
"[max]","300","300","350","600","147","153","73","277","0.4741121739050594","0.2656862745098039","0","300","300","391","600","158","142","61","330","0.443638164343713","0.24803921568627452","0","300","300","378","600","151","149","77","301","0.4764395319215685","0.257843137254902","0","300","300","372","600","160","140","75","297","0.4711314905366098","0.2627450980392157","0","300","300","377","600","149","151","89","288","0.48181199663301433","0.26666666666666666","0","300","300","316","600","162","138","61","255","0.5663281493058462","0.3813725490196078","0.27070707070707073","300","300","302","600","155","145","78","224","0.5972535618116616","0.39705882352941174","0.3104166666666667","300","300","318","600","149","151","77","241","0.5779436165021141","0.37058823529411766","0.28","300","300","318","600","145","155","61","257","0.5696687150220526","0.3872549019607843","0.3007662835249042","300","300","314","600","161","139","55","259","0.5775592672660013","0.39019607843137255","0.29133858267716534","300","300","241","600","140","160","58","183","0.6911797863717033","0.5333333333333333","0.6019047619047619","300","300","249","600","146","154","78","171","0.6936817775510792","0.5343137254901961","0.596078431372549","300","300","256","600","156","144","65","191","0.6876997729807034","0.5029411764705882","0.5575757575757576","300","300","255","600","148","152","70","185","0.698828471135421","0.5431372549019607","0.6149425287356322","300","300","246","600","139","161","68","178","0.6864655639906553","0.538235294117647","0.5930902111324377","300","300","184","600","160","140","69","115","0.8238697941292585","0.6686274509803921","0.9063136456211812","300","300","168","600","138","162","60","108","0.8232176542375593","0.6882352941176471","0.9096267190569745","300","300","183","600","155","145","82","101","0.8185556107487826","0.6833333333333333","0.9015748031496063","300","300","190","600","143","157","65","125","0.81566451136983","0.6941176470588235","0.9024856596558317","300","300","175","600","138","162","64","111","0.8086186084141996","0.6764705882352942","0.888671875","300","300","166","600","162","138","77","89","0.8592825385235179","0.7274509803921568","1","300","300","158","600","154","146","76","82","0.8647917934913896","0.7450980392156863","1","300","300","176","600","151","149","75","101","0.8497752848331089","0.7392156862745098","1","300","300","158","600","153","147","64","94","0.8490189930064136","0.7303921568627451","1","300","300","154","600","133","167","78","76","0.859178008875279","0.7519607843137255","1"
"[mean]","150","300","346","354","147","153","70.2624584717608","275.7375415282392","0.34852833571862274","0.2656862745098039","0","150","300","386.4152823920266","313.5847176079734","158","142","59.179401993355484","327.2358803986711","0.3266897570738266","0.2480392156862759","0","150","300","373.9667774086379","326.0332225913621","151","149","74.48504983388705","299.48172757475083","0.3503622405399009","0.2578431372549032","0","150","300","366.1727574750831","333.8272425249169","160","140","71.52159468438538","294.6511627906977","0.34653455874063593","0.26274509803921714","0","150","300","372.7408637873754","327.2591362126246","149","151","86.24584717607974","286.4950166112957","0.35450107226326677","0.266666666666666","0","150","300","305.7142857142857","394.2857142857143","162","138","59.26578073089701","246.44850498338872","0.4086698534293565","0.38137254901960577","0.27070707070707106","150","300","290.0066445182724","409.9933554817276","155","145","71.99667774086379","218.00996677740864","0.4321934680066977","0.3970588235294095","0.3104166666666676","150","300","313.8405315614618","386.1594684385382","149","151","76.07641196013289","237.7641196013289","0.42003859402800964","0.3705882352941186","0.28000000000000086","150","300","309.1461794019934","390.8538205980066","145","155","58.56810631229236","250.578073089701","0.4129973255360239","0.38725490196078644","0.3007662835249041","150","300","306.98671096345515","393.01328903654485","161","139","52.57475083056478","254.41196013289036","0.4196542447918958","0.3901960784313729","0.291338582677166","150","300","229.08970099667775","470.9102990033223","140","160","57.116279069767444","171.9734219269103","0.49601904765761423","0.533333333333332","0.6019047619047625","150","300","241.19933554817277","458.80066445182723","146","154","75.4186046511628","165.78073089700996","0.4977808590441404","0.534313725490194","0.5960784313725475","150","300","245.81727574750832","454.1827242524917","156","144","64.77408637873754","181.04318936877075","0.49500630024277303","0.5029411764705863","0.55757575757576","150","300","240.6611295681063","459.33887043189367","148","152","68.51495016611295","172.14617940199335","0.5016939196404053","0.5431372549019604","0.614942528735632","150","300","229.5747508305648","470.42524916943523","139","161","66.69767441860465","162.87707641196013","0.49204500506941445","0.5382352941176435","0.593090211132439","150","300","165.156146179402","534.843853820598","160","140","67.25249169435216","97.90365448504983","0.5884926200037954","0.6686274509803894","0.9063136456211764","150","300","154.77076411960132","545.2292358803986","138","162","59.0265780730897","95.74418604651163","0.5878404801120913","0.6882352941176465","0.9096267190569736","150","300","163.29900332225913","536.7009966777408","155","145","76.85049833887044","86.4485049833887","0.5841653430137833","0.6833333333333355","0.9015748031496036","150","300","170.44850498338872","529.5514950166113","143","157","63.85382059800664","106.59468438538207","0.5815209702324453","0.6941176470588196","0.9024856596558363","150","300","164.5548172757475","535.4451827242525","138","162","62.348837209302324","102.20598006644518","0.5759554268625092","0.6764705882352969","0.888671875","150","300","144.83388704318938","555.1661129568106","162","138","74.81063122923588","70.02325581395348","0.612555940907729","0.7274509803921552","1","150","300","141.77076411960132","558.2292358803986","154","146","72.7375415282392","69.03322259136213","0.618065195875597","0.7450980392156892","1","150","300","152.6578073089701","547.3421926910299","151","149","71.55813953488372","81.09966777408638","0.6030486872173182","0.739215686274513","1","150","300","134.27242524916943","565.7275747508305","153","147","59.17275747508306","75.09966777408638","0.6022923953906227","0.7303921568627412","1","150","300","140.27574750830564","559.7242524916943","133","167","77.00664451827242","63.269102990033225","0.612451411259489","0.7519607843137239","1"
"[total steps]","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300"

"[all run data]","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy"
