"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"opinion-dynamics.nlogo"
"MediaShockANDCorruption"
"07/17/2025 15:39:05:221 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","media-shock?","corruption-active?","opinion-drift?","[step]","avg-trust","avg-surveillance","avg-inclusion","avg-net-density","links-formed-this-tick","links-broken-this-tick","count turtles with [opinion-trust < 0.3]","count turtles with [count link-neighbors = 0]"
"2","true","true","false","0","0.5047724320737291","0.4975812674221026","0.49798013387586615","0.08627450980392157","0","0","307","1000"
"4","true","true","false","0","0.48749740019178434","0.49781964561203934","0.504502800267765","0.09019607843137255","0","0","316","1000"
"5","true","true","false","0","0.501722721803428","0.4907937223922128","0.4941547686272854","0.08823529411764706","0","0","306","1000"
"3","true","true","false","0","0.4978659659347515","0.47342918218920377","0.49558134343619314","0.09215686274509804","0","0","318","1000"
"4","true","true","false","1","0.17023693236674486","0.4978196456120399","0.5045028002677651","1.2784313725490195","1000","394","737","202"
"2","true","true","false","1","0.1806238649039906","0.49758126742210274","0.49798013387586554","1.2843137254901962","1000","389","716","191"
"3","true","true","false","1","0.17666536027362714","0.473429182189204","0.49558134343619387","1.2627450980392156","999","402","727","202"
"5","true","true","false","1","0.1786523765340261","0.490793722392213","0.49415476862728497","1.2529411764705882","999","405","721","197"
"2","true","true","false","2","0.1800796332082503","0.49711746773501575","0.4966144770099631","1.6352941176470588","987","808","717","161"
"4","true","true","false","2","0.16950281096227435","0.49790256467841676","0.5062165743926196","1.7137254901960783","990","768","730","155"
"3","true","true","false","2","0.17500978722039623","0.47490959058599036","0.4952154125771092","1.7","984","761","727","175"
"5","true","true","false","2","0.17839050139904822","0.4919632737109894","0.4942946401980678","1.6725490196078432","984","770","717","151"
"1","true","true","false","0","0.4763533246991977","0.47729994441608126","0.5042914806518254","0.08823529411764706","0","0","341","1000"
"2","true","true","false","3","0.17925485763108934","0.4959207452611186","0.4951166245582446","1.8196078431372549","970","876","711","163"
"4","true","true","false","3","0.16862145832403716","0.4979960471540259","0.5060303887511136","1.8470588235294119","961","893","731","138"
"5","true","true","false","3","0.1779778955827415","0.49170162829033914","0.49252358797487955","1.9137254901960785","947","824","712","143"
"3","true","true","false","3","0.17436810092962227","0.4748340355546128","0.49481933457267646","1.8862745098039215","954","859","726","153"
"2","true","true","false","4","0.17713735487156598","0.4957523774754007","0.49499728715985575","2.011764705882353","930","832","712","142"
"4","true","true","false","4","0.16831124069311043","0.49822409258669864","0.5067650124084501","1.9862745098039216","935","864","729","149"
"1","true","true","false","1","0.16351856004426146","0.477299944416081","0.5042914806518255","1.3372549019607842","999","362","755","184"
"2","true","true","false","5","0.17486818341529448","0.49708994418444163","0.49574031638965216","2.033333333333333","917","906","716","134"
"5","true","true","false","4","0.17789861598274098","0.491130032447658","0.4943478110512712","2.0941176470588236","905","813","712","132"
"3","true","true","false","4","0.17256093046745666","0.4757328725872217","0.4938408687922479","2.1411764705882352","921","791","726","130"
"4","true","true","false","5","0.16693706554850438","0.49762275705657116","0.5063988011623105","2.1019607843137256","914","855","727","135"
"2","true","true","false","6","0.17356725710194096","0.4966810684073911","0.49508958615510457","2.168627450980392","905","836","717","104"
"5","true","true","false","5","0.1759403220756073","0.4907234127055558","0.49347086025793163","2.1549019607843136","879","848","706","136"
"3","true","true","false","5","0.1713257583831895","0.47493612764792364","0.4939128209127944","2.2450980392156863","886","833","722","103"
"4","true","true","false","6","0.16597798134110928","0.4986697551508849","0.50628762477073","2.1372549019607843","904","886","727","134"
"2","true","true","false","7","0.17166732748609914","0.4980876353838136","0.4963248591936004","2.2176470588235295","892","867","713","110"
"3","true","true","false","6","0.16883808204627818","0.4752431222854484","0.49506745220514653","2.335294117647059","833","787","725","145"
"5","true","true","false","6","0.17427174006098584","0.49036239494061923","0.4935345372767297","2.2941176470588234","857","786","706","123"
"4","true","true","false","7","0.164446604561052","0.49828237336234327","0.5070247228700345","2.1980392156862747","894","863","727","116"
"2","true","true","false","8","0.1698584606081435","0.49607856743792134","0.4959146098440113","2.1980392156862747","890","900","714","122"
"3","true","true","false","7","0.1668533421472386","0.4752447042748065","0.4941165498422738","2.447058823529412","813","756","721","127"
"5","true","true","false","7","0.1732134957680675","0.491283851957373","0.49394394949087495","2.3294117647058825","829","811","701","131"
"4","true","true","false","8","0.16290652817637913","0.4979335331105388","0.507195101195149","2.276470588235294","890","850","721","105"
"2","true","true","false","9","0.16799502348018475","0.49641897628481535","0.4965797226839235","2.1882352941176473","885","890","715","139"
"4","true","true","false","9","0.16042973453500195","0.4967003624318805","0.5077225439016633","2.343137254901961","881","847","724","90"
"3","true","true","false","8","0.1647064968777803","0.47638054770258575","0.49376384450133576","2.4313725490196076","811","819","717","117"
"5","true","true","false","8","0.17232617038344777","0.49104906366050816","0.49430360195711415","2.331372549019608","833","832","702","128"
"2","true","true","false","10","0.16619769488556435","0.49645916008168806","0.49598993958302345","2.280392156862745","893","846","715","115"
"4","true","true","false","10","0.15981378229701534","0.4960605778020784","0.5096925994989439","2.3901960784313725","888","864","723","96"
"3","true","true","false","9","0.16297356597355944","0.4760174113048033","0.49432444750150123","2.5313725490196077","801","750","721","111"
"1","true","true","false","2","0.16258666059913746","0.475291011394545","0.5027565181955328","1.7666666666666666","978","759","760","168"
"2","true","true","false","11","0.021890267343618076","0.4948928974458486","0.4934585469089914","3.1862745098039214","794","332","1009","54"
"5","true","true","false","9","0.17031652486947585","0.49022209595037747","0.49501891925460706","2.368627450980392","830","811","695","114"
"4","true","true","false","11","0.02173080391265098","0.49543288359038246","0.5108455934218912","3.2450980392156863","783","347","1009","52"
"3","true","true","false","10","0.16178944776301202","0.4768042212822516","0.4941957505676011","2.6019607843137256","782","746","720","105"
"2","true","true","false","12","0.021287273300259497","0.4950299629901726","0.49398838567617576","3.792156862745098","713","404","1009","45"
"1","true","true","false","3","0.16101873046591514","0.47583719561130733","0.5013154042427159","2.0941176470588236","938","771","759","116"
"4","true","true","false","12","0.021107151364023025","0.49524571919447724","0.509896758261545","3.8137254901960786","697","407","1009","48"
"5","true","true","false","10","0.16939537754417236","0.48904768140199245","0.49348428211503365","2.4274509803921567","851","821","692","105"
"3","true","true","false","11","0.022572991063131344","0.47750222269931847","0.4932108474231672","3.2588235294117647","728","393","1013","74"
"2","true","true","false","13","0.01982718128998575","0.4950553103409469","0.49454496411482185","4.1607843137254905","630","442","1008","68"
"4","true","true","false","13","0.019698023347355913","0.49507429624212124","0.5090289292059936","4.131372549019608","617","455","1009","58"
"1","true","true","false","4","0.15869641009861712","0.47587624828594194","0.5016705094225302","2.2019607843137257","889","834","757","136"
"3","true","true","false","12","0.021318009993216792","0.4774694431683565","0.4921014247121707","3.8490196078431373","660","359","1014","63"
"4","true","true","false","14","0.018118084945770135","0.4966193471581039","0.5104454378623179","4.392156862745098","536","403","1009","64"
"2","true","true","false","14","0.018424926043248382","0.49508144225237244","0.4954220390875364","4.476470588235294","541","380","1009","49"
"5","true","true","false","11","0.025612672582153006","0.48879635740883687","0.49328069746945463","3.2294117647058824","770","361","1011","54"
"4","true","true","false","15","0.017055676374878505","0.49599436275071146","0.5097684178629375","4.62156862745098","496","379","1009","53"
"2","true","true","false","15","0.01769982461680935","0.49524590656126677","0.4959546696587343","4.674509803921569","499","398","1009","52"
"3","true","true","false","13","0.01940025164438597","0.4775863490021043","0.49136545491707473","4.254901960784314","602","395","1014","61"
"1","true","true","false","5","0.15781416345641344","0.4761861439888873","0.5027624164700872","2.3117647058823527","846","790","746","146"
"5","true","true","false","12","0.024413769059441443","0.4886255825579223","0.49368449184915014","3.735294117647059","702","444","1011","65"
"2","true","true","false","16","0.01713441998871599","0.4945752112356284","0.49620457300089543","4.768627450980392","480","432","1009","55"
"4","true","true","false","16","0.016124141510463597","0.4967339028096895","0.5101311890579968","4.798039215686274","434","344","1009","49"
"3","true","true","false","14","0.01822738144456827","0.4777671742910731","0.4922700856559625","4.480392156862745","552","437","1015","69"
"2","true","true","false","17","0.015971913320904654","0.4937822206518791","0.4953707505891931","4.956862745098039","420","324","1009","53"
"1","true","true","false","6","0.15748834303267364","0.47503881921890795","0.5030564097930146","2.4098039215686273","808","758","737","136"
"5","true","true","false","13","0.023057186125265885","0.4905494078601756","0.49483254337984","4.031372549019608","640","489","1011","70"
"4","true","true","false","17","0.014992537309258019","0.49748392916835665","0.5110402849487494","5.0058823529411764","389","283","1009","43"
"2","true","true","false","18","0.01531104632354362","0.4927742726042192","0.4945307191774751","5.076470588235294","394","333","1009","40"
"4","true","true","false","18","0.014434194832932162","0.4970945488660237","0.5106137575590914","5.088235294117647","369","327","1009","47"
"3","true","true","false","15","0.017035214799955897","0.4788696485194812","0.4934830037579713","4.688235294117647","488","382","1015","60"
"5","true","true","false","14","0.021697651381249208","0.49053550046322125","0.4945786746834049","4.382352941176471","570","391","1011","49"
"1","true","true","false","7","0.1568043275623743","0.4744798379335583","0.5028768466978262","2.4235294117647057","801","794","730","135"
"4","true","true","false","19","0.013997530190025732","0.4973591953782759","0.5101195118470678","5.231372549019608","355","282","1009","39"
"2","true","true","false","19","0.014697008920497582","0.4939399897767626","0.49294488054027563","5.192156862745098","375","316","1009","34"
"5","true","true","false","15","0.020877700711847913","0.4885507781069607","0.49454257048724126","4.570588235294117","522","426","1011","57"
"3","true","true","false","16","0.016104574079386494","0.4790012237885951","0.4929404663008593","4.892156862745098","440","336","1015","46"
"4","true","true","false","20","0.013203444362375073","0.49605549956537376","0.5092796152789109","5.364705882352941","325","257","1009","40"
"2","true","true","false","20","0.014161354129023364","0.4931977319945029","0.49203285131761487","5.327450980392157","344","275","1009","38"
"3","true","true","false","17","0.015199009474590203","0.47927694466213294","0.4913013429983358","5.013725490196078","399","337","1015","54"
"5","true","true","false","16","0.019785381131835058","0.48872585603589397","0.495862642749723","4.692156862745098","490","428","1012","59"
"1","true","true","false","8","0.15660368368822206","0.47555678865873013","0.5028633643825694","2.4156862745098038","810","814","723","132"
"4","true","true","false","21","7.573910509734957E-4","0.4954517503690638","0.5099227188313186","5.892156862745098","278","9","1020","2"
"2","true","true","false","21","8.028927103031428E-4","0.4931017554381295","0.4914371211296493","5.823529411764706","298","45","1020","5"
"3","true","true","false","18","0.014347070534684815","0.4791918295772863","0.49128298175407675","5.231372549019608","370","259","1015","34"
"5","true","true","false","17","0.01871269009671734","0.4882022294307523","0.49409569635477246","4.935294117647059","440","316","1012","52"
"4","true","true","false","22","7.267989038705447E-4","0.49756083139895874","0.510794302141048","6.317647058823529","237","20","1020","3"
"2","true","true","false","22","7.157643533960303E-4","0.4925923150816964","0.49249540852814105","6.266666666666667","259","33","1020","10"
"3","true","true","false","19","0.01367854040493472","0.47905601976609496","0.49247494936659014","5.317647058823529","343","299","1015","33"
"5","true","true","false","18","0.017596601553669985","0.48782356658655307","0.4933324942483837","5.050980392156863","398","339","1012","59"
"1","true","true","false","9","0.15638667063332004","0.4746835422641478","0.5022123089061907","2.488235294117647","819","782","721","103"
"2","true","true","false","23","6.345011558481145E-4","0.49311908617540207","0.49227276969790856","6.641176470588236","209","18","1020","7"
"4","true","true","false","23","7.159623324510368E-4","0.49729229631423955","0.5100198073198648","6.652941176470589","202","31","1020","4"
"3","true","true","false","20","0.013051592317362117","0.4796668584061537","0.49267538267248034","5.468627450980392","322","245","1015","37"
"5","true","true","false","19","0.016960497009230364","0.4884689988297214","0.49344996548039244","5.190196078431373","377","306","1012","48"
"4","true","true","false","24","6.281876623341787E-4","0.49677889780423873","0.5100623240944574","6.9","160","34","1020","6"
"2","true","true","false","24","6.333011636459445E-4","0.49485958298659144","0.4932272692493349","6.892156862745098","163","35","1020","6"
"3","true","true","false","21","3.010377372547552E-4","0.47965469755587903","0.4923493532991126","6.017647058823529","288","8","1020","2"
"1","true","true","false","10","0.15610759532678553","0.47527607638977903","0.49942724819048895","2.5294117647058822","801","780","716","111"
"4","true","true","false","25","5.971921372616039E-4","0.4980957342194493","0.5096242414928375","7.088235294117647","111","15","1020","6"
"2","true","true","false","25","6.59999579495247E-4","0.4965381640976648","0.4937800005510079","7.031372549019608","116","45","1020","6"
"5","true","true","false","20","0.016047985006758556","0.48859010928925706","0.4928119288745475","5.350980392156862","347","265","1012","48"
"2","true","true","false","26","5.850055271824511E-4","0.49458872324864933","0.49337607401356287","7.149019607843138","84","24","1020","5"
"4","true","true","false","26","5.57725803291156E-4","0.49767284312590704","0.510087231944427","7.201960784313726","69","11","1020","4"
"3","true","true","false","22","2.4354690667022222E-4","0.47841128408669803","0.49161634613130134","6.47843137254902","250","15","1020","2"
"5","true","true","false","21","4.756813241624681E-4","0.48974363160290363","0.49347163836872343","5.909803921568628","310","25","1020","5"
